set nodes:=
Desal1
WT1
WT2
Hp1
J1
J2
J3
SR2
SR3
SR1
GW1
EndPt
SR4
GW2
Urb2
Urb1
Ag2
Ag1;


set  links:=
Ag1 GW2
Ag1 J2
Ag2 GW2
Ag2 J3
Desal1 Urb2
GW1 Urb1
GW2 Ag1
GW2 Ag2
Hp1 SR4
J1 SR2
J2 Ag2
J2 J3
J3 EndPt
SR1 J1
SR1 WT1
WT1 Urb1
SR2 SR4
SR3 Hp1
SR4 Ag1
SR4 J2
SR4 WT2
WT2 Urb2
Urb1 GW1
Urb2 J2
Urb1 J1;

set demand_nodes:=
EndPt
Urb2
Urb1
Ag2
Ag1;

set  non_storage_nodes:=
WT1
WT2
Hp1
J1
J2
J3
EndPt
Urb2
Urb1
Ag2
Ag1;

set storage_nodes:=
Desal1
SR2
SR3
SR1
SR4
GW1
GW2;

set treatment_hydro_nodes:=
WT1
WT2
Hp1;

set hydro_nodes:=
Hp1;

set time_step:= 1 2 3 4 5 6 7 8 9;

  
param flow_multiplier:
                 1        2        3        4        5        6        7        8        9:=
[GW1,Urb1]       0        0        0        0        0        0        0        0        0
[SR1,WT1]        0        0        0        0        0        0        0        0        0
[WT1,Urb1]       0        0        0        0        0        0        0        0        0
[SR4,WT2]        0        0        0        0        0        0        0        0        0
[WT2,Urb2]       0        0        0        0        0        0        0        0        0;
  
param max_flow:
                 1        2        3        4        5        6        7        8        9:=
[SR2,SR4]        100      100      100      100      100      100      100      100      100
[SR1,J1]         100      100      100      100      100      100      100      100      100
[J1,SR2]         100      100      100      100      100      100      100      100      100
[Ag1,J2]         100      100      100      100      100      100      100      100      100
[Urb1,J1]        400      400      400      400      400      400      400      400      400
[Ag2,GW2]        100      100      100      100      100      100      100      100      100
[SR4,Ag1]        100      100      100      100      100      100      100      100      100
[Hp1,SR4]        100      100      100      100      100      100      100      100      100
[Urb2,J2]        400      400      400      400      400      400      400      400      400
[J2,J3]          200      200      200      200      200      200      200      200      200
[SR4,J2]         200      200      200      200      200      200      200      200      200
[Ag1,GW2]        100      100      100      100      100      100      100      100      100
[SR3,Hp1]        100      100      100      100      100      100      100      100      100
[J2,Ag2]         100      100      100      100      100      100      100      100      100
[Urb1,GW1]       100      100      100      100      100      100      100      100      100
[Ag2,J3]         100      100      100      100      100      100      100      100      100
[J3,EndPt]       350      350      350      350      350      350      350      350      350
[GW2,Ag2]        400      400      400      400      400      400      400      400      400
[GW2,Ag1]        400      400      400      400      400      400      400      400      400
[Desal1,Urb2]    400      400      400      400      400      400      400      400      400
[GW1,Urb1]       400      400      400      400      400      400      400      400      400
[SR1,WT1]        100      100      100      100      100      100      100      100      100
[WT1,Urb1]       400      400      400      400      400      400      400      400      400
[SR4,WT2]        100      100      100      100      100      100      100      100      100
[WT2,Urb2]       400      400      400      400      400      400      400      400      400;

  
param      initial_storage:=
Desal1         10000
SR1            150
SR2            200
SR3            600
SR4            150
GW1            600
GW2            600;


param      net_head:=
Hp1         5;


param     unit_price:=
Hp1         9.4;


param      min_storage:
             1      2      3      4      5      6     7     8     9:=
SR1          50     50     50     50     50     50    50    50    50
SR2          20     20     20     20     20     20    20    20    20
SR3          30     30     30     30     30     30    30    30    30
SR4          60     60     60     60     60     60    60    60    60
Desal1       10     10     10     10     10     10    10    10    10
GW1          300    300    300    300    300    300   300   300   300
GW2          300    300    300    300    300    300   300   300   300
WT1          0      0      0      0      0      0     0     0     0
WT2          0      0      0      0      0      0     0     0     0
Hp1          0      0      0      0      0      0     0     0     0;
  
param     max_storage:
             1      2      3      4      5      6      7      8      9:=
SR1          500    500    500    500    500    500    500    500    500
SR2          200    200    200    200    200    200    200    200    200
SR3          700    700    700    700    700    700    700    700    700
SR4          600    600    600    600    600    600    600    600    600
Desal1       100000 100000 100000 100000 100000 100000 100000 100000 100000
GW1          2000   2000   2000   2000   2000   2000   2000   2000   2000
GW2          2000   2000   2000   2000   2000   2000   2000   2000   2000
WT1          60     60     60     60     60     60     60     60     60
WT2          60     60     60     60     60     60     60     60     60
Hp1          60     60     60     60     60     60     60     60     60;

param priority:
                1     2     3      4      5      6      7      8      9:=
EndPt           10    10    10     10     10     10     10     10     10
Urb2            100   100   100    100    100    100    100    100    100
Urb1            90    90    90     90     90     90     90     90     90
Ag2             30    30    30     30     30     30     30     30     30
Ag1             50    50    50     50     50     50     50     50     50;

param demand:
                1     2     3      4      5      6      7      8      9:=
EndPt           15    16    14     15     15     15     14     15     16
Urb2            90    60    60     62     62     65     69     69     64
Urb1            75    43    44     44     46     49     50     50     47
Ag2             60    21    21     21     22     22     22     22     21
Ag1             55    27    27     27     27     29     29     29     28;



param  inflow:
                 1       2      3      4      5      6      7      8      9:=
SR1              100     120    120    130    110    110    100    120    120
SR3              40      30     30     30     40     50     40     40     50
Desal1           1000    1000   1000   1000   1000   1000   1000   1000   1000;

param percent_loss:
                 1       2      3      4      5      6      7      8      9:=
WT1              0.1     0.1    0.1    0.1    0.1    0.1    0.1    0.1    0.1
WT2              0.1     0.1    0.1    0.1    0.1    0.1    0.1    0.1    0.1
Hp1              0.25    0.25   0.25   0.25   0.25   0.25   0.25   0.25   0.25;
