,,,0
Hp1_SR4,2020-09-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-08-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-02-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-01-01T00:00:00.000000000Z,1,0
J1_SR2,2020-07-01T00:00:00.000000000Z,1,0
J1_SR2,2020-06-01T00:00:00.000000000Z,1,0
J1_SR2,2020-03-01T00:00:00.000000000Z,1,0
J1_SR2,2020-05-01T00:00:00.000000000Z,1,0
J1_SR2,2020-04-01T00:00:00.000000000Z,1,0
J1_SR2,2020-09-01T00:00:00.000000000Z,1,0
J1_SR2,2020-08-01T00:00:00.000000000Z,1,0
J1_SR2,2020-02-01T00:00:00.000000000Z,1,0
J1_SR2,2020-01-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-07-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-06-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-03-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-05-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-04-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-09-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-08-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-02-01T00:00:00.000000000Z,1,0
J2_Ag2,2020-01-01T00:00:00.000000000Z,1,0
J2_J3,2020-07-01T00:00:00.000000000Z,1,0
J2_J3,2020-06-01T00:00:00.000000000Z,1,0
J2_J3,2020-03-01T00:00:00.000000000Z,1,0
J2_J3,2020-05-01T00:00:00.000000000Z,1,0
J2_J3,2020-04-01T00:00:00.000000000Z,1,0
J2_J3,2020-09-01T00:00:00.000000000Z,1,0
J2_J3,2020-08-01T00:00:00.000000000Z,1,0
J2_J3,2020-02-01T00:00:00.000000000Z,1,0
J2_J3,2020-01-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-07-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-06-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-03-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-05-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-04-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-09-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-08-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-02-01T00:00:00.000000000Z,1,0
J3_EndPt,2020-01-01T00:00:00.000000000Z,1,0
SR1_J1,2020-07-01T00:00:00.000000000Z,1,0
SR1_J1,2020-06-01T00:00:00.000000000Z,1,0
SR1_J1,2020-03-01T00:00:00.000000000Z,1,0
SR1_J1,2020-05-01T00:00:00.000000000Z,1,0
SR1_J1,2020-04-01T00:00:00.000000000Z,1,0
SR1_J1,2020-09-01T00:00:00.000000000Z,1,0
SR1_J1,2020-08-01T00:00:00.000000000Z,1,0
SR1_J1,2020-02-01T00:00:00.000000000Z,1,0
SR1_J1,2020-01-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-07-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-06-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-03-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-05-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-04-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-09-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-08-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-02-01T00:00:00.000000000Z,1,0
SR1_WTP1,2020-01-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-07-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-06-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-03-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-05-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-04-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-09-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-08-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-02-01T00:00:00.000000000Z,1,0
SR2_SR4,2020-01-01T00:00:00.000000000Z,1,0
SR3_Hp1,2020-07-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-06-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-03-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-05-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-04-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-09-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-08-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-02-01T00:00:00.000000000Z,1,30
SR3_Hp1,2020-01-01T00:00:00.000000000Z,1,30
SR4_Ag1,2020-07-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-06-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-03-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-05-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-04-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-09-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-08-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-02-01T00:00:00.000000000Z,1,0
SR4_Ag1,2020-01-01T00:00:00.000000000Z,1,0
SR4_J2,2020-07-01T00:00:00.000000000Z,1,0
SR4_J2,2020-06-01T00:00:00.000000000Z,1,0
SR4_J2,2020-03-01T00:00:00.000000000Z,1,0
SR4_J2,2020-05-01T00:00:00.000000000Z,1,0
SR4_J2,2020-04-01T00:00:00.000000000Z,1,0
SR4_J2,2020-09-01T00:00:00.000000000Z,1,0
SR4_J2,2020-08-01T00:00:00.000000000Z,1,0
SR4_J2,2020-02-01T00:00:00.000000000Z,1,0
SR4_J2,2020-01-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-07-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-06-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-03-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-05-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-04-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-09-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-08-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-02-01T00:00:00.000000000Z,1,0
SR4_WTP2,2020-01-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-07-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-06-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-03-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-05-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-04-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-09-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-08-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-02-01T00:00:00.000000000Z,1,0
Urb1_GW1,2020-01-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-07-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-06-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-03-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-05-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-04-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-09-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-08-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-02-01T00:00:00.000000000Z,1,0
Urb2_J2,2020-01-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-07-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-06-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-03-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-05-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-04-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-09-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-08-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-02-01T00:00:00.000000000Z,1,0
WTP1_Urb1,2020-01-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-07-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-06-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-03-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-05-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-04-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-09-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-08-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-02-01T00:00:00.000000000Z,1,0
WTP2_Urb2,2020-01-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-07-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-06-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-03-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-05-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-04-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-09-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-08-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-02-01T00:00:00.000000000Z,1,0
Urb1_J1,2020-01-01T00:00:00.000000000Z,1,0
